prism:publicationDate	tb:type.matrix	tb:nchar.matrix	tb:ntax.matrix	tb:ntax.tree	tb:quality.tree	tb:type.tree	tb:kind.tree
2010	DNA	637	13				
2010	DNA	785	34				
2010				34	Unrated	Single	Species Tree
2010				13	Unrated	Single	Species Tree
2009	DNA	7410	90				
2009	DNA	8765	90				
2009				90	Unrated	Consensus	Species Tree
2010	DNA	561	41				
2010				41	Unrated	Consensus	Species Tree
2010				41	Unrated	Consensus	Species Tree
2010	DNA	816	4				
2010	DNA	779	6				
2010	DNA	1092	61				
2010	DNA	768	6				
2010	DNA	978	8				
2010				61	Unrated	Consensus	Species Tree
2010				8	Unrated	Single	Species Tree
2010				4	Unrated	Single	Species Tree
2010				6	Unrated	Single	Species Tree
2010				6	Unrated	Single	Species Tree
2009	DNA	258	20				
2009				19	Unrated	Consensus	Species Tree
2010	DNA	1863	31				
2010				31	Unrated	Consensus	Species Tree
2009	DNA	385	34				
2009	DNA	678	30				
2009				34	Unrated	Single	Species Tree
2009				30	Unrated	Single	Species Tree
2003	DNA	646	119				
2003	DNA	647	124				
2003				119	Unrated	Consensus	Species Tree
2003				119	Unrated	Consensus	Species Tree
2003				124	Unrated	Consensus	Species Tree
2009	DNA	611	24				
2009	DNA	1181	24				
2009				24	Unrated	Consensus	Species Tree
2009				24	Unrated	Single	Species Tree
2009				24	Unrated	Single	Species Tree
2009				24	Unrated	Single	Species Tree
2009	DNA	9369	83				
2009				54	Unrated	Consensus	Species Tree
2009				66	Unrated	Consensus	Species Tree
2009				68	Unrated	Consensus	Species Tree
2009				69	Unrated	Consensus	Species Tree
2009				69	Unrated	Consensus	Species Tree
2009				83	Unrated	Consensus	Species Tree
2010	DNA	1083	740				
2010				407	Unrated	Single	Species Tree
2010				96	Unrated	Single	Species Tree
2010				187	Unrated	Single	Species Tree
2010				50	Unrated	Single	Species Tree
2009	DNA	581	45				
2009	DNA	1131	31				
2009	DNA	550	55				
2009				55	Unrated	Single	Species Tree
2009				45	Unrated	Single	Species Tree
2009				31	Unrated	Single	Species Tree
2010	DNA	3518	84				
2010	Standard	3671	84				
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Consensus	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2010				84	Unrated	Single	Species Tree
2009	Standard	444	101				
2009				101	Unrated	Single	Species Tree
2009	DNA	1659	57				
2009	DNA	509	40				
2009	DNA	338	56				
2009				40	Unrated	Consensus	Species Tree
2009				56	Unrated	Consensus	Species Tree
2009				57	Unrated	Consensus	Species Tree
2009	Standard	1130	52				
2009				52	Unrated	Consensus	Species Tree
2009	DNA	2823	60				
2009	DNA	2280	42				
2009	DNA	2054	81				
2009	DNA	7157	88				
2009				60	Unrated	Consensus	Species Tree
2009				88	Unrated	Consensus	Species Tree
2009				81	Unrated	Consensus	Species Tree
2009				42	Unrated	Consensus	Species Tree
2009	DNA	3525	36				
2009				36	Unrated	Consensus	Species Tree
2004	Protein	981	52				
2004	DNA	3009	63				
2004	DNA	3009	52				
2004				52	Unrated	Single	Species Tree
2004				52	Unrated	Single	Species Tree
2004				52	Unrated	Single	Species Tree
2004				63	Unrated	Single	Species Tree
2004				52	Unrated	Single	Species Tree
2004				52	Unrated	Single	Species Tree
2004				52	Unrated	Consensus	Species Tree
2004				52	Unrated	Single	Species Tree
2004				52	Unrated	Single	Species Tree
2004				52	Unrated	Single	Species Tree
2004				52	Unrated	Single	Species Tree
2010	DNA	1636	29				
2010	DNA	1059	61				
2010				29	Unrated	Single	Species Tree
2010				61	Unrated	Single	Species Tree
2010	DNA	1939	39				
2010				39	Unrated	Single	Species Tree
2010	DNA	520	31				
2010	DNA	2006	58				
2010				58	Unrated	Consensus	Species Tree
2010				31	Unrated	Consensus	Species Tree
2009	DNA	4549	206				
2009				206	Unrated	Consensus	Species Tree
2009	DNA	979	98				
2009				98	Unrated	Single	Species Tree
2010	DNA	3360	44				
2010				44	Unrated	Single	Species Tree
2009	Standard	92	33				
2009				33	Unrated	Single	Species Tree
2009				33	Unrated	Consensus	Species Tree
2009				33	Unrated	Single	Species Tree
2010	DNA	911	37				
2010	DNA	1198	102				
2010	DNA	1020	57				
2010				102	Unrated	Single	Species Tree
2010				57	Unrated	Single	Species Tree
2010				37	Unrated	Single	Species Tree
2009	DNA	138	73				
2009	Protein	230	73				
2009	DNA	460	73				
2009				73	Unrated	Consensus	Species Tree
2009				73	Unrated	Consensus	Species Tree
2009				73	Unrated	Consensus	Species Tree
2010	DNA	8381	127				
2010	DNA	8862	50				
2010	DNA	7791	127				
2010	DNA	12359	50				
2010				50	Unrated	Consensus	Species Tree
2010				127	Unrated	Consensus	Species Tree
2003	DNA	1979	192				
2003				190	Unrated	Single	Species Tree
2009	Standard	441	96				
2009	DNA	10452	14				
2009	DNA	7137	14				
2009				63	Unrated	Single	Species Tree
2009				14	Unrated	Consensus	Species Tree
2010	DNA	786	40				
2010	DNA	610	57				
2010				40	Unrated	Single	Species Tree
2010				40	Unrated	Single	Species Tree
2010				57	Unrated	Single	Species Tree
2010				40	Unrated	Single	Species Tree
2010				57	Unrated	Single	Species Tree
2010				40	Unrated	Single	Species Tree
2010	DNA	581	127				
2010	DNA	692	208				
2010				208	Unrated	Single	Species Tree
2010				127	Unrated	Single	Species Tree
2010	Standard	2102	259				
2010				259	Unrated	Single	Species Tree
2010				259	Unrated	Single	Species Tree
2010				259	Unrated	Single	Species Tree
2010				259	Unrated	Single	Species Tree
2009	DNA	3376	95				
2009	DNA	725	152				
2009				152	Unrated	Single	Species Tree
2009				95	Unrated	Single	Species Tree
2009				152	Unrated	Single	Species Tree
2009				152	Unrated	Single	Species Tree
2009				152	Unrated	Single	Species Tree
2009				152	Unrated	Single	Species Tree
2010	DNA	700	88				
2010				88	Unrated	Consensus	Species Tree
2011	Standard	5905	25				
2011	DNA	2827	47				
2011				25	Unrated	Consensus	Species Tree
2011				47	Unrated	Single	Species Tree
2010	Standard	264	156				
2010	DNA	11174	156				
2010	Standard	56	156				
2010				156	Unrated	Consensus	Species Tree
2010	DNA	1782	48				
2010	DNA	686	98				
2010	DNA	897	241				
2010	DNA	684	71				
2010	DNA	412	52				
2010				68	Unrated	Consensus	Species Tree
2010				95	Unrated	Consensus	Species Tree
2010				49	Unrated	Consensus	Species Tree
2010				241	Unrated	Consensus	Species Tree
2010				48	Unrated	Consensus	Species Tree
2010	DNA	732	32				
2010				30	Unrated	Single	Species Tree
